db,u,g,r,i,z,y
too_elab_r32_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6172676.260505302,10455334.618695496,12043763.671328856,12426262.53104117,11996440.573447809,9668135.771004273
too_elab_r16_d3_giz_v3_4_10yrs_QSONumberCountsMetric,6188189.1162380995,10466087.143609308,12037197.089378338,12437921.11309118,12006963.768223677,9663914.158332236
too_elab_r64_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6205539.907969881,10450432.793503098,12017569.973387256,12424502.636701528,12000507.666578747,9772333.858557932
weather_cloudso6v3_4_10yrs_QSONumberCountsMetric,6224557.123193385,10508875.656458095,12086171.406398416,12492175.276106473,12052073.485590665,9721209.918792577
ddf_acor_sf30_lsf40_lsr50_v3_4_10yrs_QSONumberCountsMetric,6185047.098089528,10472308.569560163,12029979.530172264,12426140.915039726,11999644.633460796,9656519.055456882
too_elab_r32_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6171483.770869049,10451966.014263976,12038830.330561921,12434702.172387809,11997372.734057786,9660002.520614957
too_elab_r64_d2_giz_v3_4_10yrs_QSONumberCountsMetric,6186884.976254542,10444810.30210032,12031677.449374909,12427331.202585988,11987987.677103467,9658432.788221307
ddf_acor_sf20_lsf40_lsr20_v3_4_10yrs_QSONumberCountsMetric,6182241.756142766,10470609.53786666,12037794.683584832,12435857.301998515,12002542.585281182,9658130.94936492
too_ignore_10_1v3_4_10yrs_QSONumberCountsMetric,6181272.234965612,10474878.806513378,12039724.7211957,12437408.427124245,12005569.907286402,9671544.493335051
ddf_loaded_half_fl1_v3_4_10yrs_QSONumberCountsMetric,6216191.946295124,10505364.052660938,12067128.291851172,12460464.104313657,12044819.43871228,9709608.03316426
too_combined_s1_0_split_v3_4_10yrs_QSONumberCountsMetric,6177638.888081951,10502010.639036408,12037443.6161436,12418645.588301374,11963750.518560003,9656458.225772344
too_elab_r16_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6164802.956687879,10458014.532888422,12035960.00165461,12435287.605007559,11996289.88504201,9663518.322764821
too_combined_s2_0_v3_4_10yrs_QSONumberCountsMetric,6145150.258278975,10502665.453691032,12058208.64285493,12430824.565369941,11927060.86338085,9620164.420044059
too_elab_2yr_r128_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6210659.864636556,10455841.0397689,12029804.433530277,12438644.326797463,11999317.644435128,9747381.791804023
too_combined_no_nss_s1_0_v3_4_stripped_10yrs_QSONumberCountsMetric,6176798.0654987795,10425144.15848969,11997117.323880365,12378461.709484031,11943207.437688444,9644189.49837862
too_elab_r256_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6303473.968646171,10405576.277890306,12013632.879896883,12413741.437650949,11974491.849397855,9965911.304534124
too_elab_r32_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6219298.983253559,10462864.662297623,12036154.117496634,12434691.961388126,11998397.520177176,9733117.754263865
too_100_4v3_4_10yrs_QSONumberCountsMetric,6174123.031074313,10438266.711776499,12029027.465749584,12437327.643122064,11998469.926474135,9655738.006437123
ddf_acor_sf10_lsf30_lsr20_v3_4_10yrs_QSONumberCountsMetric,6193920.950890385,10471954.09042318,12036513.668499464,12437781.231220396,12002023.275031123,9662661.265539765
too_combined_s0_0_v3_4_stripped_10yrs_QSONumberCountsMetric,6192967.498041714,10492066.912777439,12040008.948964633,12413907.997060962,11991446.72459733,9685041.437684985
too_elab_r256_d2_gz_v3_4_10yrs_QSONumberCountsMetric,6172204.262342702,10421748.544287536,12024151.92403071,12419036.960386172,11987665.874521751,9630525.793332696
too_elab_r128_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6160349.359877548,10425382.146316841,12024423.522877948,12420622.187604848,12013379.44214574,9643167.228423316
too_elab_r128_d3_giz_v3_4_10yrs_QSONumberCountsMetric,6170350.139440961,10432828.875566538,12019816.7859435,12423700.423499398,11993080.621734586,9650113.202458162
weather_cloudso0v3_4_10yrs_QSONumberCountsMetric,6181159.584406344,10469115.146833755,12040931.022691857,12437051.119555477,12007975.42719723,9658763.15714784
ddf_acor_sf15_lsf30_lsr10_v3_4_10yrs_QSONumberCountsMetric,6174702.551099884,10478349.594690748,12041755.368601488,12420416.221064117,11993064.099893555,9662884.717483519
too_combined_s1_5_v3_4_10yrs_QSONumberCountsMetric,6183436.1626644265,,12063522.718720473,12425073.636674639,11955399.804303523,9655370.923386633
weather_cloudso18v3_4_10yrs_QSONumberCountsMetric,6197848.674375057,10467492.744566835,12046257.619457157,12438875.436852653,11994921.305816628,9676151.035607956
ddf_acor_sf25_lsf40_lsr10_v3_4_10yrs_QSONumberCountsMetric,6171994.469688864,10472823.66462066,12037521.287124418,12429603.805007985,11987794.181209626,9659276.523199245
ddf_acor_sf10_lsf15_lsr50_v3_4_10yrs_QSONumberCountsMetric,6193730.916719031,10469923.515394486,12041730.630910758,12439179.008596707,12001355.869270053,9677341.664443094
weather_cloudso4v3_4_10yrs_QSONumberCountsMetric,6220565.338412314,10513801.929343853,12084033.406660061,12467501.397199597,12046865.66134004,9700529.049454408
too_elab_r64_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6174494.701186583,10446868.974197716,12027069.309462035,12434155.646894315,11990017.535256526,9648812.44291846
too_elab_r64_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6177941.801650939,10440739.282394268,12025155.343019802,12423332.861548055,11997438.631683066,9663803.746905811
too_10_1v3_4_10yrs_QSONumberCountsMetric,6187221.805381122,10464093.115248084,12037416.212171359,12438996.254430328,12007085.644664101,9669493.002311274
ddf_loaded_half_fl2_v3_4_10yrs_QSONumberCountsMetric,6197843.355043412,10486277.628422592,12065291.858089924,12448030.228231685,12026450.693259567,9695700.642163437
ddf_acor_sf15_lsf20_lsr50_v3_4_10yrs_QSONumberCountsMetric,6182994.311703558,10475581.51930586,12039664.612509824,12430900.428891355,12001741.986666799,9659866.845533304
weather_cloudso20v3_4_10yrs_QSONumberCountsMetric,6172614.738296136,10452156.531930383,12027751.175329894,12414505.640690934,11976066.556995623,9665758.673937652
too_elab_r128_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6280782.833462381,10433662.660279088,12016494.879089504,12434062.203330675,12002079.687784297,9802751.235697944
ddf_loaded_fl2_v3_4_10yrs_QSONumberCountsMetric,6199934.191836212,10488907.131510288,12059690.138648178,12464200.116373546,12040398.5764997,9710075.199635979
too_combined_s0_8_v3_4_10yrs_QSONumberCountsMetric,6181501.48155022,10493612.169238107,12045829.080711631,12426305.957753826,11967947.141850876,9662234.481670605
too_elab_heavy_r64_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6169286.041631455,10441260.95551341,12013172.10030662,12429506.859306242,11992389.345293963,9695626.069705045
too_elab_r256_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6152162.63326738,10408129.158171857,12015572.02413252,12423085.398389697,11993385.879703876,9632460.128095949
too_100_1v3_4_10yrs_QSONumberCountsMetric,6180122.522294026,10472024.140728867,12045478.764344435,12437125.082853641,11996498.209816054,9655587.942820385
baseline_v3_4_10yrs_QSONumberCountsMetric,6181159.584406344,10469115.146833755,12040931.022691857,12437051.119555477,12007975.42719723,9658763.15714784
too_elab_r128_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6160337.103478091,10428457.651945919,12022715.256280322,12429708.499394577,12005213.809350802,9660044.77416424
ddf_acor_sf20_lsf40_lsr50_v3_4_10yrs_QSONumberCountsMetric,6185652.322916753,10461777.722044973,12032677.909354202,12435477.135746084,11994277.090918379,9655827.91419021
too_elab_2yr_r32_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6190399.350292361,10452841.617256124,12031273.451407988,12439158.718100006,11995342.08202798,9686609.444906555
too_elab_heavy_r128_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6140033.605621094,10450593.712183138,12018516.859521795,12414666.051399114,12019727.973570433,9622599.296183793
too_elab_2yr_r32_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6192103.4582404485,10459458.922009323,12031776.230154425,12430957.66579961,11993686.431711733,9696560.482915647
too_elab_r8_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6181722.535002315,10480068.704566255,12035324.816665942,12435338.024843954,11994111.08839715,9677336.4498596
too_elab_heavy_r64_d2_gz_v3_4_10yrs_QSONumberCountsMetric,6164367.0654744515,10439508.063052319,12029402.7416047,12431515.235566081,12006134.399123276,9651267.460747255
weather_cloudso14v3_4_10yrs_QSONumberCountsMetric,6184236.938615029,10465908.128473688,12043811.623368949,12444106.559397437,12004341.471455818,9674345.408698311
